Index,SMILES,Valid,MW,Rings,Oxygen,Nitrogen,Hydroxyl,Chiral,Glycosidic,Steroid_Skeleton,O/C_Ratio,Score,Classification,Description,Reasons,Error
65,O=C1N6[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,True,1274.6,6.0,11.0,13.0,0.0,10.0,0.0,No,0.162,70.0,LIKELY_SAPONIN,Probably a saponin,High MW: 1274.6 > 800 (+30); Many rings: 6 ≥ 5 (+20); High oxygen: 11 ≥ 8 (+15),
66,O=C1N7[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,True,1350.7,7.0,11.0,13.0,0.0,10.0,0.0,No,0.149,60.0,LIKELY_SAPONIN,Probably a saponin,High MW: 1350.7 > 800 (+30); Many rings: 7 ≥ 5 (+20); High oxygen: 11 ≥ 8 (+15),
67,O=C1N8[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,True,1426.8,8.0,11.0,13.0,0.0,10.0,0.0,No,0.138,60.0,LIKELY_SAPONIN,Probably a saponin,High MW: 1426.8 > 800 (+30); Many rings: 8 ≥ 5 (+20); High oxygen: 11 ≥ 8 (+15),
68,O=C1N5[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,True,1198.5,5.0,11.0,13.0,0.0,10.0,0.0,No,0.177,70.0,LIKELY_SAPONIN,Probably a saponin,High MW: 1198.5 > 800 (+30); Many rings: 5 ≥ 5 (+20); High oxygen: 11 ≥ 8 (+15),
69,O=C1N5[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,True,1212.5,5.0,11.0,13.0,0.0,10.0,0.0,No,0.175,70.0,LIKELY_SAPONIN,Probably a saponin,High MW: 1212.5 > 800 (+30); Many rings: 5 ≥ 5 (+20); High oxygen: 11 ≥ 8 (+15),
70,O=C1N5[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,True,1226.6,5.0,11.0,13.0,0.0,10.0,0.0,No,0.172,70.0,LIKELY_SAPONIN,Probably a saponin,High MW: 1226.6 > 800 (+30); Many rings: 5 ≥ 5 (+20); High oxygen: 11 ≥ 8 (+15),
71,O=C1N5[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,True,1240.6,5.0,11.0,13.0,0.0,10.0,0.0,No,0.169,70.0,LIKELY_SAPONIN,Probably a saponin,High MW: 1240.6 > 800 (+30); Many rings: 5 ≥ 5 (+20); High oxygen: 11 ≥ 8 (+15),
72,O=C1N8[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,True,1318.7,9.0,11.0,13.0,0.0,10.0,0.0,No,0.155,70.0,LIKELY_SAPONIN,Probably a saponin,High MW: 1318.7 > 800 (+30); Many rings: 9 ≥ 5 (+20); High oxygen: 11 ≥ 8 (+15),
73,O=C1N6[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,True,1246.6,6.0,10.0,13.0,0.0,10.0,0.0,No,0.149,60.0,LIKELY_SAPONIN,Probably a saponin,High MW: 1246.6 > 800 (+30); Many rings: 6 ≥ 5 (+20); High oxygen: 10 ≥ 8 (+15),
74,O=C1N7[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C...,True,1336.7,7.0,10.0,13.0,0.0,10.0,0.0,No,0.135,60.0,LIKELY_SAPONIN,Probably a saponin,High MW: 1336.7 > 800 (+30); Many rings: 7 ≥ 5 (+20); High oxygen: 10 ≥ 8 (+15),
75,[H][C@@]12C([H])([H])[C@]([H])(O[H])C([H])([H])C([...,True,376.6,4.0,3.0,0.0,2.0,9.0,0.0,Yes,0.125,55.0,POSSIBLE_SAPONIN,Could be a saponin (needs verification),Very low MW: 376.6 < 400 (no points); Sufficient rings: 4 ≥ 4 (+15); Has steroid/triterpene skeleton (+25),
76,O=C(N([H])C([H])([H])C([H])([H])N([H])[H])[C@]([H]...,True,458.7,0.0,4.0,4.0,0.0,2.0,0.0,No,0.167,-10.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 458.7 > 400 (+10); High O/C ratio: 0.167 (+10); Contains nitrogen: 4 atoms (-30),
77,O=C(N([H])C([H])([H])C([H])([H])N([H])[H])[C@]([H]...,True,514.8,0.0,4.0,4.0,0.0,2.0,0.0,No,0.143,-20.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 514.8 > 400 (+10); Contains nitrogen: 4 atoms (-30),
78,O=C(N([H])C([H])([H])C([H])([H])N([H])[H])[C@]([H]...,True,542.8,0.0,6.0,4.0,0.0,2.0,0.0,No,0.214,0.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 542.8 > 400 (+10); Moderate oxygen: 6 ≥ 5 (+10); High O/C ratio: 0.214 (+10),
79,O[S](=O)(=O)OC([H])([H])C([H])([H])C([H])([H])C([H...,True,266.4,0.0,4.0,0.0,1.0,0.0,0.0,No,0.333,10.0,NOT_SAPONIN,Definitely not a saponin,Very low MW: 266.4 < 400 (no points); High O/C ratio: 0.333 (+10),
80,O=C(N([H])[C@]([H])(C(O)O)C([H])([H])C([H])([H])C(...,True,512.8,0.0,4.0,2.0,2.0,1.0,0.0,No,0.133,-10.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 512.8 > 400 (+10); Contains nitrogen: 2 atoms (-20),
81,O=C(OC([H])([H])[C@]([H])(O[H])C([H])([H])OC(=O)[C...,True,444.6,0.0,7.0,2.0,1.0,2.0,0.0,No,0.318,10.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 444.6 > 400 (+10); Moderate oxygen: 7 ≥ 5 (+10); High O/C ratio: 0.318 (+10),
82,O=C(OC([H])([H])[C@@]1([H])O[C@]([H])([C@]([H])(OC...,True,676.8,2.0,13.0,0.0,4.0,10.0,2.0,No,0.382,90.0,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin,Medium MW: 676.8 > 600 (+20); Very high oxygen: 13 ≥ 12 (+20); Sufficient hydroxyls: 4 ≥ 3 (+10),
83,O=C(O[C@](C([H])([H])C(=O)O[H])(C([H])([H])[H])C([...,True,678.9,2.0,13.0,0.0,6.0,12.0,4.0,No,0.382,95.0,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin,Medium MW: 678.9 > 600 (+20); Very high oxygen: 13 ≥ 12 (+20); Many hydroxyls: 6 ≥ 5 (+15),
84,O=C(N([H])[C@@]([H])(C(=O)O[H])C([H])([H])[H])C([H...,True,299.5,0.0,3.0,1.0,1.0,1.0,0.0,No,0.176,0.0,NOT_SAPONIN,Definitely not a saponin,Very low MW: 299.5 < 400 (no points); High O/C ratio: 0.176 (+10); Contains nitrogen: 1 atoms (-10),
85,O=C(N([H])[C@@]([H])(C(=O)O[H])C([H])([H])O[H])C([...,True,315.5,0.0,4.0,1.0,2.0,1.0,0.0,No,0.235,0.0,NOT_SAPONIN,Definitely not a saponin,Very low MW: 315.5 < 400 (no points); High O/C ratio: 0.235 (+10); Contains nitrogen: 1 atoms (-10),
86,O=C1N([H])C([H])([H])C([H])([H])C([H])([H])N(C(=O)...,True,590.9,1.0,3.0,4.0,0.0,3.0,0.0,No,0.086,-20.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 590.9 > 400 (+10); Contains nitrogen: 4 atoms (-30),
87,O=c1c3c(oc2c1c(O[H])c(c(OC([H])([H])C([H])([H])C([...,True,636.9,3.0,6.0,2.0,1.0,0.0,0.0,No,0.158,25.0,UNLIKELY_SAPONIN,Probably not a saponin,Medium MW: 636.9 > 600 (+20); Few rings: 3 (only +5); Moderate oxygen: 6 ≥ 5 (+10),
88,O=c1c3c(oc2c1c(O[H])c(c(OC([H])([H])C([H])([H])C([...,True,664.9,3.0,6.0,2.0,1.0,0.0,0.0,No,0.150,15.0,NOT_SAPONIN,Definitely not a saponin,Medium MW: 664.9 > 600 (+20); Few rings: 3 (only +5); Moderate oxygen: 6 ≥ 5 (+10),
89,O=c1c3c(oc2c1c(O[H])c(c(OC([H])([H])C([H])([H])C([...,True,749.1,3.0,6.0,2.0,1.0,0.0,0.0,No,0.130,15.0,NOT_SAPONIN,Definitely not a saponin,Medium MW: 749.1 > 600 (+20); Few rings: 3 (only +5); Moderate oxygen: 6 ≥ 5 (+10),
90,O=c1c3c(oc2c1c(O[H])c(c(OC([H])([H])[C@]([H])(O[H]...,True,642.8,3.0,8.0,4.0,3.0,2.0,0.0,No,0.235,30.0,UNLIKELY_SAPONIN,Probably not a saponin,Medium MW: 642.8 > 600 (+20); Few rings: 3 (only +5); High oxygen: 8 ≥ 8 (+15),
91,O=c1c3c(oc2c1c(O[H])c(c(OC([H])([H])[C@]([H])(O[H]...,True,815.1,3.0,8.0,8.0,3.0,2.0,0.0,No,0.190,40.0,POSSIBLE_SAPONIN,Could be a saponin (needs verification),High MW: 815.1 > 800 (+30); Few rings: 3 (only +5); High oxygen: 8 ≥ 8 (+15),
92,O=c1c3c(oc2c1c(O[H])c(c(OC([H])([H])[C@]([H])(O[H]...,True,668.9,3.0,8.0,2.0,3.0,2.0,0.0,No,0.211,40.0,POSSIBLE_SAPONIN,Could be a saponin (needs verification),Medium MW: 668.9 > 600 (+20); Few rings: 3 (only +5); High oxygen: 8 ≥ 8 (+15),
93,O=c1c3c(oc2c1c(O[H])c(c(OC([H])([H])[C@]([H])(O[H]...,True,764.9,3.0,14.0,2.0,9.0,2.0,0.0,No,0.368,50.0,POSSIBLE_SAPONIN,Could be a saponin (needs verification),Medium MW: 764.9 > 600 (+20); Few rings: 3 (only +5); Very high oxygen: 14 ≥ 12 (+20),
94,O=c1c3c(oc2c1c(O[H])c(c(OC([H])([H])C([H])([H])C([...,True,669.0,3.0,6.0,2.0,1.0,0.0,0.0,No,0.150,15.0,NOT_SAPONIN,Definitely not a saponin,Medium MW: 669.0 > 600 (+20); Few rings: 3 (only +5); Moderate oxygen: 6 ≥ 5 (+10),
95,O=c1c3c(oc2c1c(O[H])c(c(OC([H])([H])C([H])([H])C([...,True,612.9,3.0,6.0,2.0,1.0,0.0,0.0,No,0.167,25.0,UNLIKELY_SAPONIN,Probably not a saponin,Medium MW: 612.9 > 600 (+20); Few rings: 3 (only +5); Moderate oxygen: 6 ≥ 5 (+10),
96,O=C(N([H])C([H])([H])C([H])([H])C([H])([H])C([H])(...,True,626.9,0.0,7.0,2.0,3.0,1.0,0.0,No,0.200,30.0,UNLIKELY_SAPONIN,Probably not a saponin,Medium MW: 626.9 > 600 (+20); Moderate oxygen: 7 ≥ 5 (+10); Sufficient hydroxyls: 3 ≥ 3 (+10),
97,[H]c1c(O[H])c(O[H])c([H])c(c1[H])[C@](C([H])=C([H]...,True,314.5,1.0,2.0,0.0,2.0,1.0,0.0,No,0.095,0.0,NOT_SAPONIN,Definitely not a saponin,Very low MW: 314.5 < 400 (no points),
98,[H]N(c1c([H])c(nn1C([H])([H])[H])C([H])([H])[H])C(...,True,247.4,1.0,0.0,3.0,0.0,0.0,0.0,No,0.000,-30.0,NOT_SAPONIN,Definitely not a saponin,Very low MW: 247.4 < 400 (no points); Contains nitrogen: 3 atoms (-30),
99,O=C1N([H])[C@]([H])(C(=O)N([H])C([H])([H])C([H])([...,True,1096.3,5.0,10.0,13.0,0.0,8.0,0.0,No,0.179,70.0,LIKELY_SAPONIN,Probably a saponin,High MW: 1096.3 > 800 (+30); Many rings: 5 ≥ 5 (+20); High oxygen: 10 ≥ 8 (+15),
100,O=C(N([H])[C@]([H])(C(=O)O[H])C([H])([H])C([H])(C(...,True,1102.5,1.0,10.0,13.0,1.0,8.0,0.0,No,0.182,40.0,POSSIBLE_SAPONIN,Could be a saponin (needs verification),High MW: 1102.5 > 800 (+30); High oxygen: 10 ≥ 8 (+15); Many chiral centers: 8 (+15),
101,O=C(N([H])[C@]([H])(C(=O)N([H])[C@]2(C([H])([H])C(...,True,556.8,2.0,3.0,4.0,0.0,1.0,0.0,No,0.091,-20.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 556.8 > 400 (+10); Contains nitrogen: 4 atoms (-30),
102,O=C(N([H])[C@]([H])(C(=O)N([H])[C@]2(C([H])([H])C(...,True,570.9,2.0,3.0,4.0,0.0,1.0,0.0,No,0.088,-20.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 570.9 > 400 (+10); Contains nitrogen: 4 atoms (-30),
103,O=C(N([H])[C@]([H])(C(=O)N([H])C([H])([H])[C@]2(C(...,True,584.9,2.0,3.0,4.0,0.0,1.0,0.0,No,0.086,-20.0,NOT_SAPONIN,Definitely not a saponin,Low MW: 584.9 > 400 (+10); Contains nitrogen: 4 atoms (-30),
