Index,SMILES,MW,Rings,Oxygen,Nitrogen,Score,Classification
289,O=C8O[C@@]9([H])C([H])([H])[C@]7(/C6=C(\[H])C([H])...,1153.3,9.0,25.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
290,O=C8O[C@@]9([H])C([H])([H])[C@]7(/C6=C(\[H])C([H])...,1233.4,9.0,28.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
291,O=C8O[C@@]9([H])C([H])([H])[C@]7(/C6=C(\[H])C([H])...,1233.4,9.0,28.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
292,O=C8O[C@@]9([H])C([H])([H])[C@]7(/C6=C(\[H])C([H])...,1217.4,9.0,27.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
293,[H][C@]34C([C@@]([H])(O[C@]1([H])O[C@@]([H])([C@](...,827.1,6.0,14.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
294,[H][C@]45C([C@@]([H])(O[C@]2([H])O[C@@]([H])([C@](...,987.2,7.0,19.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
295,[H][C@]45C([C@@]([H])(O[C@]2([H])O[C@@]([H])([C@](...,1028.2,7.0,19.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
296,[H][C@]45C([C@@]([H])(O[C@]2([H])O[C@@]([H])([C@](...,1000.2,7.0,18.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
297,[H][C@]56C([C@@]([H])(O[C@]3([H])O[C@@]([H])([C@](...,1160.4,8.0,23.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
298,[H][C@]56C([C@@]([H])(O[C@]3([H])O[C@@]([H])([C@](...,1202.4,8.0,24.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
299,[H][C@]56C([C@@]([H])(O[C@]3([H])O[C@@]([H])([C@](...,1202.4,8.0,24.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
300,O=C1O[C@]([C@@]9([H])[C@]18[C@](/C7=C(\[H])C([H])(...,1157.3,9.0,24.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
301,O=C8O[C@@]9([H])C([H])([H])[C@]7(/C6=C(\[H])C([H])...,971.1,9.0,20.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
302,O=C1O[C@]([C@]9([H])[C@]18[C@](/C7=C(\[H])C([H])([...,1113.3,9.0,23.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
303,O=C(O[C@@]8([H])C([H])([H])[C@]7(/C6=C(\[H])C([H])...,1103.3,8.0,22.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
304,O=C1O[C@]([C@]%10([H])[C@]19[C@](/C8=C(\[H])C([H])...,1313.5,10.0,29.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
305,O=C1O[C@]([C@]6([H])[C@]15[C@](/C4=C(\[H])C([H])([...,644.8,6.0,9.0,0.0,115.0,HIGH_CONFIDENCE_SAPONIN
306,O=C1O[C@]([C@]7([H])[C@]16[C@](/C5=C(\[H])C([H])([...,791.0,7.0,13.0,0.0,125.0,HIGH_CONFIDENCE_SAPONIN
307,O=C1O[C@]([C@]7([H])[C@]16[C@](/C5=C(\[H])C([H])([...,871.1,7.0,16.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
308,O=C1O[C@]([C@]9([H])[C@]18[C@](/C7=C(\[H])C([H])([...,1099.3,9.0,22.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
309,O=C1O[C@]([C@]9([H])[C@]18[C@](/C7=C(\[H])C([H])([...,1179.3,9.0,25.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
310,O=C1O[C@]([C@]9([H])[C@]18[C@](/C7=C(\[H])C([H])([...,1101.3,9.0,22.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
