radius,nbits,original_r2,selected_r2,n_features_original,n_features_selected
2,1024,-0.7858737612274689,-0.740295754826121,1024,512
2,2048,-0.49228399590775396,-0.5100022688302112,2048,1024
3,1024,-0.8549172761467579,-0.7909304900122922,1024,512
3,2048,-0.6246229443530714,-0.616033700743005,2048,1024
4,1024,-0.9374692303729908,-0.782726121253113,1024,512
4,2048,-0.6146262131254712,-0.6150658149187095,2048,1024
6,1024,-0.8839382963832516,-0.8324278549482311,1024,512
6,2048,-0.6975301019906175,-0.5885390998385319,2048,1024
