Index,SMILES,MW,Rings,Oxygen,Nitrogen,Hydroxyl,Chiral,Glycosidic,O/C_Ratio,Score,Classification,Description
288,O=C8O[C@@]9([H])C([H])([H])[C@]7(/C6=C(\[H])C([H])([H])[C@@]...,1153.3,9,25,0,11,27,8,0.472,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
289,O=C8O[C@@]9([H])C([H])([H])[C@]7(/C6=C(\[H])C([H])([H])[C@@]...,1153.3,9,25,0,11,28,8,0.472,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
290,O=C8O[C@@]9([H])C([H])([H])[C@]7(/C6=C(\[H])C([H])([H])[C@@]...,1233.4,9,28,0,11,27,8,0.528,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
291,O=C8O[C@@]9([H])C([H])([H])[C@]7(/C6=C(\[H])C([H])([H])[C@@]...,1233.4,9,28,0,11,28,8,0.528,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
292,O=C8O[C@@]9([H])C([H])([H])[C@]7(/C6=C(\[H])C([H])([H])[C@@]...,1217.4,9,27,0,10,27,8,0.509,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
293,[H][C@]34C([C@@]([H])(O[C@]1([H])O[C@@]([H])([C@]([H])(O[H])...,827.1,6,14,0,9,18,4,0.318,140,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
294,[H][C@]45C([C@@]([H])(O[C@]2([H])O[C@@]([H])([C@]([H])(O[H])...,987.2,7,19,0,10,22,6,0.380,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
295,[H][C@]45C([C@@]([H])(O[C@]2([H])O[C@@]([H])([C@]([H])(O[H])...,1028.2,7,19,1,9,22,6,0.365,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
296,[H][C@]45C([C@@]([H])(O[C@]2([H])O[C@@]([H])([C@]([H])(O[H])...,1000.2,7,18,1,10,22,6,0.353,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
297,[H][C@]56C([C@@]([H])(O[C@]3([H])O[C@@]([H])([C@]([H])(O[H])...,1160.4,8,23,1,11,26,8,0.404,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
298,[H][C@]56C([C@@]([H])(O[C@]3([H])O[C@@]([H])([C@]([H])(O[H])...,1202.4,8,24,1,10,26,8,0.407,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
299,[H][C@]56C([C@@]([H])(O[C@]3([H])O[C@@]([H])([C@]([H])(O[H])...,1202.4,8,24,1,10,26,8,0.407,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
300,O=C1O[C@]([C@@]9([H])[C@]18[C@](/C7=C(\[H])C([H])([H])[C@]6(...,1157.3,9,24,0,9,28,8,0.421,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
301,O=C8O[C@@]9([H])C([H])([H])[C@]7(/C6=C(\[H])C([H])([H])[C@]5...,971.1,9,20,0,9,26,8,0.417,145,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
302,O=C1O[C@]([C@]9([H])[C@]18[C@](/C7=C(\[H])C([H])([H])[C@]6([...,1113.3,9,23,0,9,27,8,0.418,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
303,O=C(O[C@@]8([H])C([H])([H])[C@]7(/C6=C(\[H])C([H])([H])[C@]5...,1103.3,8,22,0,11,27,8,0.400,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
304,O=C1O[C@]([C@]%10([H])[C@]19[C@](/C8=C(\[H])C([H])([H])[C@]7...,1313.5,10,29,0,11,31,10,0.483,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
305,O=C1O[C@]([C@]6([H])[C@]15[C@](/C4=C(\[H])C([H])([H])[C@]3([...,644.8,6,9,0,3,13,2,0.243,110,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
306,O=C1O[C@]([C@]7([H])[C@]16[C@](/C5=C(\[H])C([H])([H])[C@]4([...,791.0,7,13,0,5,18,4,0.302,125,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
307,O=C1O[C@]([C@]7([H])[C@]16[C@](/C5=C(\[H])C([H])([H])[C@]4([...,871.1,7,16,0,5,18,4,0.372,140,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
308,O=C1O[C@]([C@]9([H])[C@]18[C@](/C7=C(\[H])C([H])([H])[C@]6([...,1099.3,9,22,0,9,27,8,0.400,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
309,O=C1O[C@]([C@]9([H])[C@]18[C@](/C7=C(\[H])C([H])([H])[C@]6([...,1179.3,9,25,0,9,27,8,0.455,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
310,O=C1O[C@]([C@]9([H])[C@]18[C@](/C7=C(\[H])C([H])([H])[C@]6([...,1101.3,9,22,0,9,27,8,0.400,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
311,O=C1O[C@]([C@]9([H])[C@]18[C@](/C7=C(\[H])C([H])([H])[C@]6([...,1181.4,9,25,0,9,27,8,0.455,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
312,O=C1O[C@]([C@]%10([H])[C@]19[C@](/C8=C(\[H])C([H])([H])[C@]7...,1233.4,10,26,0,11,31,10,0.433,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
313,O=C1O[C@]([C@]%10([H])[C@]19[C@](/C8=C(\[H])C([H])([H])[C@]7...,1313.5,10,29,0,11,31,10,0.483,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
314,O=C%10O[C@]([C@@]9([H])C(=O)C([H])([H])[C@]8(/C7=C(\[H])C([H...,1283.4,10,29,0,13,31,10,0.500,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
315,O=C8O[C@]([C@@]7([H])C(=O)C([H])([H])[C@]6(/C5=C(\[H])C([H])...,959.1,8,19,0,7,21,6,0.413,140,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
316,O=C8O[C@@]9([H])C([H])([H])[C@]7(/C6=C(\[H])C([H])([H])[C@]5...,1051.2,9,23,0,9,26,8,0.479,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
317,O=C%10O[C@]([C@@]9([H])C(=O)C([H])([H])[C@]8(/C7=C(\[H])C([H...,1297.4,10,29,0,12,31,10,0.492,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
318,O=C%10O[C@]([C@@]9([H])C(=O)C([H])([H])[C@]8(/C7=C(\[H])C([H...,1377.5,10,32,0,12,31,10,0.542,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
319,O=C%10O[C@]([C@@]9([H])C(=O)C([H])([H])[C@]8(/C7=C(\[H])C([H...,1377.5,10,32,0,12,31,10,0.542,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
320,O=C%10O[C@]([C@@]9([H])C(=O)C([H])([H])[C@]8(/C7=C(\[H])C([H...,1457.6,10,35,0,12,31,10,0.593,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
321,O=C%10O[C@]([C@@]9([H])C(=O)C([H])([H])[C@]8(/C7=C(\[H])C([H...,1217.4,10,26,0,12,31,10,0.441,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
322,O=C%10O[C@]([C@@]9([H])C(=O)C([H])([H])[C@]8(/C7=C(\[H])C([H...,1203.3,10,26,0,13,31,10,0.448,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
323,O=C1O[C@]([C@]%10([H])[C@]19[C@](/C8=C(\[H])C([H])([H])[C@]7...,1443.6,10,34,0,12,31,10,0.576,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
324,O=C1O[C@]([C@]%10([H])[C@]19[C@](/C8=C(\[H])C([H])([H])[C@]7...,1203.4,10,25,0,12,31,10,0.424,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
325,O=C1O[C@]([C@]9(O[H])[C@]12[C@]([C@@]8([H])C(=C([H])[C@]2([H...,1199.3,10,27,0,12,29,8,0.500,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
326,O=C1O[C@]([C@]7(O[H])[C@]12[C@]([C@@]6([H])C(=C([H])[C@]2([H...,861.0,8,17,0,7,19,4,0.415,140,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
327,O=C1O[C@]([C@]9(O[H])[C@]12[C@]([C@@]8([H])C(=C([H])[C@]2([H...,1243.4,9,28,0,12,28,8,0.500,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
328,O=C1O[C@]([C@]7(O[H])[C@@]16C(=O)C([H])=C5[C@@]4([C@@]([H])(...,845.0,7,16,0,6,17,4,0.390,140,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
329,O=C3O[C@]([C@]2([H])C(=O)C([H])([H])[C@]1([C@@]%11([H])C(=C(...,1393.5,11,31,0,14,36,12,0.470,150,HIGH_CONFIDENCE_SAPONIN,Very likely a saponin
