#Name,LogHD50,Co-solvent,SMILES,Reference
W0204,2.0,,O=C(N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H])C([H])([H])O[H])[C@]([H])(O[H])C([H])([H])O[H],"Human Erythrocyte Hemolysis Induced by Bioinspired Sugar Surfactants, Wilk KA, Zielinska K, Jarzycka A, Pietkiewicz J., Progr Colloid Polym Sci (2011) 138:189-192."
W0205,1.602,,O=C(N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H])C([H])([H])O[H])[C@]([H])(O[H])C([H])([H])O[H],"Human Erythrocyte Hemolysis Induced by Bioinspired Sugar Surfactants, Wilk KA, Zielinska K, Jarzycka A, Pietkiewicz J., Progr Colloid Polym Sci (2011) 138:189-192."
W0206,1.301,,O=C(N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H])C([H])([H])O[H])[C@]([H])(O[H])C([H])([H])O[H],"Human Erythrocyte Hemolysis Induced by Bioinspired Sugar Surfactants, Wilk KA, Zielinska K, Jarzycka A, Pietkiewicz J., Progr Colloid Polym Sci (2011) 138:189-192."
W0207,1.954,,O=C(N(C([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H])C([H])([H])O[H])[C@]([H])(O[H])C([H])([H])O[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],"Human Erythrocyte Hemolysis Induced by Bioinspired Sugar Surfactants, Wilk KA, Zielinska K, Jarzycka A, Pietkiewicz J., Progr Colloid Polym Sci (2011) 138:189-192."
W0208,1.477,,O=C(N(C([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H])C([H])([H])O[H])[C@]([H])(O[H])C([H])([H])O[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],"Human Erythrocyte Hemolysis Induced by Bioinspired Sugar Surfactants, Wilk KA, Zielinska K, Jarzycka A, Pietkiewicz J., Progr Colloid Polym Sci (2011) 138:189-192."
W0209,1.301,,O=C(N(C([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H])C([H])([H])O[H])[C@]([H])(O[H])C([H])([H])O[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],"Human Erythrocyte Hemolysis Induced by Bioinspired Sugar Surfactants, Wilk KA, Zielinska K, Jarzycka A, Pietkiewicz J., Progr Colloid Polym Sci (2011) 138:189-192."
W0211,2.0,,O=C(N([H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H])C([H])([H])O[H])[C@]([H])(O[H])C([H])([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])C([H])([H])O[H])[C@]([H])(O[H])C([H])([H])O[H],"Human Erythrocyte Hemolysis Induced by Bioinspired Sugar Surfactants, Wilk KA, Zielinska K, Jarzycka A, Pietkiewicz J., Progr Colloid Polym Sci (2011) 138:189-192."
W0228,1.477,,O=C(O[C@]1([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[C@]1([H])O[C@@]2([H])O[C@@]([H])([C@@]([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[C@]([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[C@@]2([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])O[H])C([H])([H])O[H])C([H])([H])C([H])([H])C(=O)O[H],"Hemolytic activity of a bacterial trehalose lipid biosurfactant produced by Rhodococcus sp.: evidence for a colloid-osmotic mechanism, Zaragoza A, Aranda FJ, Espuny MJ, Teruel JA, Marqu??s A, Manresa A, Ortiz A., Langmuir. 2010 Jun 1;26(11):8567-8572."
W0248,1.845,,O=C(N([H])c1c([H])c([H])c(c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])[C@]([H])(C(=O)N([H])[H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([H])(O[H])[C@@]2([H])O[H])C([H])([H])N([H])[H])[C@@]4([H])O[C@@]([H])(n3c(=O)n([H])c(=O)c([H])c3[H])[C@]([H])(O[H])[C@@]4([H])O[H],"Novel FR-900493 Analogues That Inhibit the Outgrowth of Clostridium difficile Spores, Mitachi K, Yun HG, Kurosu SM, Eslamimehr S, Lemieux MR, Klaic L, Clemons WM Jr, Kurosu M., ACS Omega. 2018 Feb 28;3(2):1726-1739."
W0249,1.176,,O=c1n([H])c(=O)n(c([H])c1[H])[C@]4([H])O[C@]([H])([C@]([H])(O[H])C([H])([H])[C@@]3([H])O[C@@]([H])(O[C@@]2([H])O[C@@]([H])([C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])N([H])C(=O)C([H])([H])[H])C([H])([H])O[H])[C@]([H])(N([H])C(=O)C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]([H])(O[H])[C@@]3([H])O[H])[C@]([H])(O[H])[C@@]4([H])O[H],"Novel FR-900493 Analogues That Inhibit the Outgrowth of Clostridium difficile Spores, Mitachi K, Yun HG, Kurosu SM, Eslamimehr S, Lemieux MR, Klaic L, Clemons WM Jr, Kurosu M., ACS Omega. 2018 Feb 28;3(2):1726-1739."
