iter	Passed	Remaining
245	10077	110767
246	10117	110721
247	10161	110707
248	10200	110653
249	10243	110632
250	10283	110576
251	10309	110380
252	10348	110314
253	10373	110107
254	10413	110056
255	10441	109877
256	10461	109625
257	10481	109363
258	10505	109155
259	10527	108917
260	10557	108765
261	10614	108901
262	10730	109628
263	10804	109926
264	10836	109796
265	10860	109588
266	10892	109459
267	10927	109354
268	10960	109236
269	10984	109036
270	11005	108795
271	11023	108535
272	11040	108264
273	11059	108007
274	11077	107750
275	11099	107532
276	11129	107401
277	11171	107373
278	11219	107407
279	11270	107470
280	11321	107535
281	11375	107622
282	11462	108021
283	11506	108011
284	11548	107993
285	11592	107984
286	11641	108022
287	11686	108022
288	11734	108047
289	11770	107963
290	11807	107891
291	11845	107829
292	11884	107767
293	11922	107708
294	11961	107652
295	12001	107607
296	12043	107581
297	12084	107541
298	12133	107580
299	12174	107542
300	12216	107512
301	12258	107487
302	12300	107452
303	12342	107426
304	12383	107388
305	12425	107366
306	12466	107321
307	12507	107290
308	12551	107272
309	12590	107220
310	12624	107121
311	12664	107079
312	12705	107040
313	12745	107001
314	12788	106976
315	12829	106937
316	12866	106867
317	12904	106805
318	12939	106721
319	12980	106684
320	13020	106637
321	13062	106609
322	13105	106591
323	13145	106540
324	13186	106504
325	13226	106461
326	13265	106409
327	13306	106367
328	13347	106336
329	13389	106304
330	13429	106263
331	13457	106123
332	13488	106005
333	13529	105967
334	13569	105924
335	13601	105812
336	13643	105787
337	13684	105747
338	13724	105704
339	13764	105664
340	13805	105622
341	13844	105572
342	13885	105539
343	13925	105497
344	13967	105467
345	14007	105423
346	14048	105383
347	14089	105346
348	14128	105299
349	14168	105254
350	14210	105222
351	14252	105193
352	14290	105137
353	14330	105089
354	14372	105057
355	14412	105015
356	14442	104897
357	14481	104852
358	14522	104813
359	14561	104763
360	14602	104724
361	14634	104622
362	14658	104466
363	14696	104407
364	14737	104373
365	14771	104287
366	14811	104247
367	14850	104196
368	14906	104266
369	14945	104216
370	14988	104190
371	15028	104151
372	15070	104116
373	15111	104086
374	15139	103957
375	15178	103909
376	15219	103873
377	15259	103829
378	15299	103787
379	15340	103751
380	15381	103715
381	15424	103692
382	15457	103601
383	15488	103498
384	15519	103395
385	15559	103352
386	15601	103324
387	15637	103254
388	15676	103208
389	15701	103067
390	15741	103026
391	15783	102996
392	15824	102957
393	15864	102918
394	15904	102877
395	15944	102834
396	15985	102798
397	16026	102765
398	16058	102670
399	16099	102631
400	16140	102599
401	16179	102551
402	16220	102517
403	16252	102423
404	16281	102311
405	16322	102277
406	16363	102240
407	16394	102144
408	16435	102108
409	16470	102033
410	16509	101991
