iter	RMSE
236	0.4127244607
237	0.4112192775
238	0.4103030828
239	0.4092605363
240	0.4083645948
241	0.4076400149
242	0.4057405019
243	0.4042702788
244	0.4026882877
245	0.4014742035
246	0.4004139404
247	0.3986385169
248	0.3975877229
249	0.3969378883
250	0.3958789687
251	0.3942558544
252	0.3932827534
253	0.3924220261
254	0.3918598679
255	0.3900414825
256	0.3890696501
257	0.3879925392
258	0.3873678278
259	0.3864219975
260	0.3852986211
261	0.3836926094
262	0.3821031301
263	0.3808192179
264	0.379901196
265	0.3789674058
266	0.3784420579
267	0.3778817237
268	0.3771340773
269	0.3763112266
270	0.3752742765
271	0.3737880848
272	0.3722708797
273	0.3713326196
274	0.3701158761
275	0.3685822888
276	0.3680647893
277	0.3670058928
278	0.3663942023
279	0.3655357058
280	0.3642346189
281	0.3632220035
282	0.3626543573
283	0.362181161
284	0.3611996019
285	0.3604362167
286	0.3598317488
287	0.3589402534
288	0.3578869922
289	0.3568339183
290	0.3564220886
291	0.3555517115
292	0.3543514147
293	0.3539619978
294	0.3531065968
295	0.3526200759
296	0.3517835081
297	0.3507860441
298	0.3500119931
299	0.3493953999
300	0.3488204865
301	0.3475088491
302	0.3471357899
303	0.3463533228
304	0.3460297139
305	0.3453703723
306	0.3448403834
307	0.3441783406
308	0.3438046902
309	0.3434440121
310	0.342561398
311	0.3415938368
312	0.3407819101
313	0.3399542086
314	0.3396398729
315	0.3392100818
316	0.3384495744
317	0.3375308997
318	0.3367925682
319	0.3359680544
320	0.3353645411
321	0.334646231
322	0.3342061874
323	0.3335419023
324	0.333177051
325	0.3325990116
326	0.3322588382
327	0.33153845
328	0.3312143806
329	0.3302699656
330	0.3300235855
331	0.329411885
332	0.3289566443
333	0.3283638333
334	0.3276799253
335	0.3272257625
336	0.3261073209
337	0.325703619
338	0.3254863494
339	0.3250146241
340	0.3238410098
341	0.3234973605
342	0.3229742907
343	0.3223905167
344	0.3218189787
345	0.3211809766
346	0.3206732825
347	0.3203518027
348	0.3197386508
349	0.319350998
350	0.3186349217
351	0.3180303407
352	0.3172758187
353	0.3169372984
354	0.3167232599
355	0.3164423518
356	0.315978605
357	0.3150845004
358	0.3144825363
359	0.3142684746
360	0.314058495
361	0.3132983824
362	0.3129676363
363	0.3123327188
364	0.3117290202
365	0.3113623589
366	0.3111149351
367	0.3107373525
368	0.3104735127
369	0.3098896522
370	0.3094701957
371	0.3090685389
372	0.3088848007
373	0.3085505826
374	0.308025647
375	0.3074821822
376	0.3070041435
377	0.3066817702
378	0.3063950311
379	0.3061293616
380	0.3056123915
381	0.3053063106
382	0.3048026664
383	0.3045136673
384	0.3041411923
385	0.3037092752
386	0.303212069
387	0.3028184304
388	0.3022068965
389	0.30171351
390	0.301531135
391	0.3012565622
392	0.3009806454
393	0.3006230504
394	0.3003471128
395	0.3001653327
396	0.2999894812
397	0.2994277708
398	0.2989700368
399	0.2988017347
400	0.2982566727
401	0.2980233975
402	0.297768742
403	0.2972043583
404	0.2969327645
405	0.2965782347
406	0.2959312252
407	0.2956858429
408	0.2951973147
409	0.2948079068
410	0.2944066872
